No urut	Diagnosis/Daftar Penyakit SKDI 2012	Tingkat kompetensi
430	Toksoplasmosis Sindrom duh (discharge) genital (gonore dan	2
431	nongonore)	4A
432	Infeksi virus Herpes tipe 2	2
433	Infeksi saluran kemih bagian bawah	4A
434	Vulvitis	4A
435	Kondiloma akuminatum	3A
436	Vaginitis	4A
437	Vaginosis bakterialis	4A
438	Servisitis	3A
439	Salpingitis	4A
440	Abses tubo-ovarium	3B
441	Penyakit radang panggul	3A
442	Kehamilan normal	4A
443	Infeksi intra-uterin: korioamnionitis	3A
444	Infeksi pada kehamilan: TORCH, hepatitis B, malaria	3B
445	Aborsi mengancam	3B
446	Aborsi spontan inkomplit	3B
447	Aborsi spontan komplit	4A
448	Hiperemesis gravidarum	3B
449	Inkompatibilitas darah	2
450	Mola hidatidosa	2
451	Hipertensi pada kehamilan	2
452	Preeklampsia	3B
453	Eklampsia	3B
454	Diabetes gestasional	2
455	Kehamilan posterm	2
456	Insufisiensi plasenta	2
457	Plasenta previa	2
458	Vasa previa	2
459	Abrupsio plasenta	2
460	Inkompeten serviks	2
461	Polihidramnion	2
462	Kelainan letak janin setelah 36 minggu	2
463	Kehamilan ganda	2
464	Janin tumbuh lambat	3A
465	Kelainan janin	2
466	Diproporsi kepala panggul	2
467	Anemia defisiensi besi pada kehamilan	4A
468	Intra-Uterine Fetal Death (IUFD)	2
469	Persalinan preterm	3A
470	Ruptur uteri	2
471	Bayi post matur	3A
472	Ketuban pecah dini (KPD)	3A
473	Distosia	3B
474	Malpresentasi	2
475	Partus lama	3B
476	Prolaps tali pusat	3B
477	Hipoksia janin	3B
478	Ruptur serviks	3B
479	Ruptur perineum tingkat 1-2	4A
480	Ruptur perineum tingkat 3-4	3B
481	Retensi plasenta	3B
482	Inversio uterus	3B
483	Perdarahan post partum	3B
484	Tromboemboli	2
485	Endometritis	3B
486	Inkontinensia urine	2
487	Inkontinensia feses	2
488	Trombosis vena dalam	2
489	Tromboflebitis	2
490	Subinvolusio uterus	3B
491	Kista dan abses kelenjar bartolini	3A
492	Abses folikel rambut atau kelenjar sebasea	4A
493	Malformasi kongenital	1
494	Kistokel	1
495	Rektokel	1
496	Corpus alienum vaginae	3A
497	Kista Gartner	3A
498	Fistula (vesiko-vaginal, uretero-vagina, rektovagina)	2
499	Kista Nabotian	3A
500	Polip serviks	3A
501	Malformasi kongenital uterus	1
502	Prolaps uterus, sistokel, rektokel	3A
503	Hematokolpos	2
504	Endometriosis	2
505	Hiperplasia endometrium	1
506	Menopause, perimenopausal syndome	2
507	Polikistik ovarium	1
508	Kehamilan ektopik	2
509	Karsinoma serviks	2
510	Karsinoma endometrium	1
511	Karsinoma ovarium	1
512	Teratoma ovarium (kista dermoid)	2
513	Kista ovarium	2
514	Torsi dan ruptur kista	3B
515	Koriokarsinoma Adenomiosis, mioma	1
516	Malpresentasi	2
517	Inflamasi, abses	2
518	Mastitis	4A
519	Cracked nipple	4A
520	Inverted nipple	4A
521	Fibrokista	2
522	Fibroadenoma mammae (FAM)	2
523	Tumor Filoides	1
524	Karsinoma payudara	2
525	Penyakit Paget	1
526	Ginekomastia	2
527	Infertilitas	3A
528	Gangguan ereksi	2
529	Diabetes melitus tipe 1	4A
530	Diabetes melitus tipe 2	4A
531	Diabetes melitus tipe lain (intoleransi glukosa akibat penyakit lain atau obat-obatan)	3A
532	Ketoasidosis diabetikum nonketotik	3B
533	Hiperglikemi hiperosmolar	3B
